Location Name,Location Address,longitude and latitude,Verified
Supercenter #3471,"3105 Cobb Pkwy Nw Acworth, GA 30152","34.028489,-84.657991",TRUE
Supercenter #3748,"3826 Cobb Pkwy Nw Acworth, GA 30101","34.046532,-84.69659",TRUE
Supercenter #758,"1711 E Lamar St, Americus, GA 31709","32.06038,-84.202211",TRUE
Supercenter #1586,"1133 E W Connector, Austell, GA 30106","33.855608,-84.586825",TRUE
Supercenter #5812,"97 Commerce Drive, Blue Ridge, GA 30513","34.87706,-84.32572",TRUE
Supercenter #858,"361 8th Ave Ne, Cairo, GA 39828","30.887298,-84.203348",TRUE
Supercenter #722,"1735 S Highway 27, Carrollton, GA 30117","33.543251,-85.077402",TRUE
Supercenter #2753,"1455 Highway 441 S, Clayton, GA 30525","34.859747,-83.404274",TRUE
Supercenter #1311,"5448 Whittlesey Blvd Ste B Columbus, GA 31909","32.540952,-84.946168",TRUE
Supercenter #1338,"3515 Victory Drive Columbus, GA 31903","32.423791,-84.945461",TRUE
Supercenter #4200,"6475 Gateway Road Columbus, GA 31909","32.538525,-84.876805",TRUE
Supercenter #4283,"2801 Airport Thruway Columbus, GA 31909","32.522477,-84.948541",TRUE
Supercenter #1403,"250 Furniture Dr, Cornelia, GA 30531","34.536529,-83.531839",TRUE
Supercenter #3403,"3615 Charles Hardy Pkwy, Dallas, GA 30157","33.935471,-84.730413",TRUE
Supercenter #593,"1450 Bowens Mill Rd Se, Douglas, GA 31533","31.484793,-82.848412",TRUE
Supercenter #2360,"4725 Ashford Dunwoody Rd Dunwoody, GA 30338","33.933154,-84.333334",TRUE
Supercenter #5482,"201 Walmart Dr, Eatonton, GA 31024","33.295492,-83.388793",TRUE
Supercenter #594,"125 Pavilion Pkwy, Fayetteville, GA 30214","33.481133,-84.443191",TRUE
Supercenter #510,"400 Shallowford Rd Nw Gainesville, GA 30504","34.29189,-83.850448",TRUE
Supercenter #1061,"136 E Jarman St, Hazlehurst, GA 31539","31.861925,-82.586568",TRUE
Supercenter #5814,"2200 Holly Springs Pkwy, Holly Springs, GA 30115","34.18551,-84.504357",TRUE
Supercenter #614,"803 New Franklin Rd Lagrange, GA 30240","33.059954,-85.031414",TRUE
Supercenter #1340,"5401 Fairington Rd Lithonia, GA 30038","33.700553,-84.166924",TRUE
Supercenter #4472,"8424 Mall Parkway Lithonia, GA 30038","33.694745,-84.084948",TRUE
Supercenter #1076,"1401 Gray Hwy Macon, GA 31211","32.863107,-83.610854",TRUE
Supercenter #1153,"6020 Harrison Rd Macon, GA 31206","32.809235,-83.71814",TRUE
Supercenter #2890,"5955 Zebulon Rd Macon, GA 31210","32.883048,-83.760078",TRUE
Supercenter #3201,"135 Willow Ln, Mcdonough, GA 30253","33.432892,-84.184723",TRUE
Supercenter #952,"641 Veterans Pkwy S, Moultrie, GA 31788","31.170369,-83.757925",TRUE
Supercenter #3461,"2717 Highway 54, Peachtree City, GA 30269","33.401156,-84.599991",TRUE
Supercenter #787,"7050 Highway 85, Riverdale, GA 30274","33.562621,-84.410372",TRUE
Supercenter #836,"6586 Ga Highway 40 E, Saint Marys, GA 31558","30.777947,-81.619073",TRUE
Supercenter #754,"147 Northside Dr E Statesboro, GA 30458","32.434092,-81.759731",TRUE
Supercenter #1024,"414 S Main St, Swainsboro, GA 30401","32.588182,-82.330543",TRUE
Supercenter #1658,"2205 Harrison Rd Se, Thomson, GA 30824","33.480829,-82.501679",TRUE
Supercenter #2584,"4375 Lawrenceville Hwy, Tucker, GA 30084","33.855618,-84.205317",TRUE
Supercenter #2732,"600 Carrollton Villa Rica Hwy, Villa Rica, GA 30180","33.720263,-84.934763",TRUE
Supercenter #520,"440 Atlanta Hwy N.w., Winder, GA 30680","33.990048,-83.756644",TRUE
Supercenter #7194,"351 Alabama Rd, Adel, GA 31620","31.133085,-83.440084",TRUE
Neighborhood Market #5267,"3130 Atlanta Hwy, Athens, GA 30606","33.943287,-83.444789",TRUE
Supercenter #1400,"1911 Epps Bridge Pkwy, Athens, GA 30606","33.91984,-83.445013",TRUE
Supercenter #2811,"4375 Lexington Rd, Athens, GA 30605","33.934394,-83.30912",TRUE
Supercenter #5422,"500 E Alice St, Bainbridge, GA 39819","30.889947,-84.571082",TRUE
Supercenter #856,"404 Highway 27 N Byp, Bremen, GA 30110","33.715560, -85.143372",TRUE
Supercenter #1215,"450 W Belmont Dr, Calhoun, GA 30701","34.479392,-84.945645",TRUE
Supercenter #615,"101 Market Place Blvd, Cartersville, GA 30121","34.20301,-84.787638",TRUE
Supercenter #4616,"260 Donald E Thurmond Pkwy, Cleveland, GA 30528","34.579021,-83.758921",TRUE
Supercenter #3,"30983 Highway 441 S, Commerce, GA 30529","34.18038,-83.440831",TRUE
Supercenter #459,"10300 Industrial Blvd Ne, Covington, GA 30014","33.611091,-83.830398",TRUE
Supercenter #4558,"4200 Salem Rd, Covington, GA 30016","33.577096,-83.95916",TRUE
Neighborhood Market #4528,"98 W Walnut Ave, Dalton, GA 30720","34.762617,-84.968669",TRUE
Supercenter #669,"2545 E Walnut Ave, Dalton, GA 30721","34.767798,-84.930032",TRUE
Supercenter #5173,"815 Shugart Rd, Dalton, GA 30720","34.786679,-84.999022",TRUE
Supercenter #1488,"7001 Concourse Pkwy, Douglasville, GA 30134","33.732529,-84.756691",TRUE
Supercenter #1070,"88 Highland Xing, East Ellijay, GA 30540","34.656167,-84.488294",TRUE
Walmart #1701,"955 Elbert St, Elberton, GA 30635","34.091952,-82.84527",TRUE
Supercenter #686,"120 Benjamin H Hill Dr W, Fitzgerald, GA 31750","31.690033,-83.248426",TRUE
Supercenter #932,"1569 N Expressway, Griffin, GA 30223","33.272331,-84.296714",TRUE
Neighborhood Market #2465,"3697 Windsor Spring Rd, Hephzibah, GA 30815","33.378799,-82.073143",TRUE
Supercenter #5786,"1100 Old Philadelphia Rd, Jasper, GA 30143","34.476358,-84.460254",TRUE
Neighborhood Market #3074,"3059 Lawrenceville Hwy, Lawrenceville, GA 30044","33.922297,-84.085526",TRUE
Supercenter #548,"630 Collins Hill Rd, Lawrenceville, GA 30046","33.97115,-83.996445",TRUE
Supercenter #3388,"1400 Lawrenceville Hwy, Lawrenceville, GA 30044","33.936755,-84.025249",TRUE
Supercenter #5709,"4949 Bill Gardner Pkwy, Locust Grove, GA 30248","33.35803,-84.120507",TRUE
Supercenter #1363,"1681 Eatonton Rd, Madison, GA 30650","33.566158,-83.479937",TRUE
Supercenter #1121,"2592 N Columbia St, Milledgeville, GA 31061","33.116131,-83.265166",TRUE
Supercenter #494,"1025 Highway 34 E, Newnan, GA 30265","33.393507,-84.743635",TRUE
Supercenter #2733,"1009 Saint Patricks Dr, Perry, GA 31069","32.472838,-83.739337",TRUE
Supercenter #4409,"1801 Nathan Dean Byp, Rockmart, GA 30153","34.01309,-85.030816",TRUE
Supercenter #1143,"1308 S Harris St, Sandersville, GA 31082","32.952013,-82.812443",TRUE
Supercenter #745,"5600 N Henry Blvd, Stockbridge, GA 30281","33.553435,-84.255207",TRUE
Supercenter #3402,"1400 Hudson Bridge Rd, Stockbridge, GA 30281","33.507348,-84.235618",TRUE
Supercenter #7245,"1102 E Franklin St, Sylvester, GA 31791","31.525746,-83.811666",TRUE
Neighborhood Market #5198,"1810 Tift Ave N, Tifton, GA 31794","31.47142,-83.504188",TRUE
Supercenter #1072,"1830 Us Highway 82 W, Tifton, GA 31793","31.442612,-83.542664",TRUE
Supercenter #855,"4735 Jonesboro Rd, Union City, GA 30291","33.573182,-84.541713",TRUE
Neighborhood Market #840,"515 N Houston Rd, Warner Robins, GA 31093","32.625431,-83.642887",TRUE
Neighborhood Market #920,"3009 Russell Pkwy, Warner Robins, GA 31088","32.58019,-83.696219",TRUE
Supercenter #1367,"2720 Watson Blvd, Warner Robins, GA 31093","32.621482,-83.673299",TRUE
Supercenter #3750,"502 Booth Rd, Warner Robins, GA 31088","32.590077,-83.612256",TRUE
Supercenter #575,"12182 Highway 92, Woodstock, GA 30188","34.084144,-84.481292",TRUE
Supercenter #5275,"6435 Bells Ferry Rd, Woodstock, GA 30189","34.112806,-84.584609",TRUE
Neighborhood Market #2801,"108 S Westover Blvd, Albany, GA 31707","31.583836,-84.218466",TRUE
Neighborhood Market #4517,"2586 N Slappey Blvd, Albany, GA 31701","31.613375,-84.174176",TRUE
Supercenter #588,"2825 Ledo Rd, Albany, GA 31707","31.624881,-84.213882",TRUE
Supercenter #5797,"262 Cordele Rd, Albany, GA 31705","31.578904,-84.086598",TRUE
Supercenter #3008,"835 Martin Luther King Jr Drive Nw Atlanta, GA 30314","33.755895,-84.413573",TRUE
Supercenter #3709,"2427 Gresham Rd Se, Atlanta, GA 30316","33.719055,-84.312892",TRUE
Supercenter #3741,"1105 Research Center Atlanta Dr Sw, Atlanta, GA 30331","33.728192,-84.507968",TRUE
Supercenter #3775,"1801 Howell Mill Rd Nw Atlanta, GA 30318","33.80165, -84.412536",TRUE
Neighborhood Market #7601,"835 Martin Luther King Jr Dr Nw, Atlanta, GA 30314","33.755895,-84.413573",TRUE
Supercenter #5392,"980 W Parker St, Baxley, GA 31513","31.786239,-82.364715",TRUE
Neighborhood Market #2840,"11 Glynn Plaza, Brunswick, GA 31520","31.193202,-81.48732",TRUE
Supercenter #639,"150 Altama Connector, Brunswick, GA 31525","31.21279,-81.485484",TRUE
Supercenter #843,"165 Us Highway 19 S, Camilla, GA 31730","31.235878,-84.198418",TRUE
Supercenter #727,"1585 Rome Hwy, Cedartown, GA 30125","34.046304,-85.239793",TRUE
Supercenter #7246,"366 Hwy 26 East, Cochran, GA 31014","32.400301,-83.336257",TRUE
Supercenter #2475,"1436 Dogwood Dr Se, Conyers, GA 30013","33.652886,-83.996745",TRUE
Supercenter #878,"1500 Market Place Blvd, Cumming, GA 30041","34.183745,-84.129166",TRUE
Supercenter #4185,"2395 Peachtree Pkwy, Cumming, GA 30041","34.100194,-84.173759",TRUE
Supercenter #7185,"3655 Browns Bridge Rd, Cumming, GA 30028","34.266813,-84.087098",TRUE
Supercenter #3874,"98 Power Center Dr, Dawsonville, GA 30534","34.355121,-84.041523",TRUE
Supercenter #555,"2423 Us Highway 80 W, Dublin, GA 31021","32.551323,-82.972166",TRUE
Supercenter #6998,"844 Cleveland Ave, East Point, GA 30344","33.678634,-84.416749",TRUE
Supercenter #3609,"2940 Anvil Block Rd, Ellenwood, GA 30294","33.636307,-84.293003",TRUE
Supercenter #907,"180 N Lee St, Forsyth, GA 31029","33.042323,-83.943166",TRUE
Neighborhood Market #7339,"5303a Wrightsboro Rd, Grovetown, GA 30813","33.455602,-82.20781",TRUE
Supercenter #5735,"5010 Steiner Way, Grovetown, GA 30813","33.481827,-82.195953",TRUE
Neighborhood Market #4519,"801a E General Stewart Way, Hinesville, GA 31313","31.8511,-81.579052",TRUE
Neighborhood Market #4525,"1422 W Oglethorpe Hwy Ste A, Hinesville, GA 31313","31.7968,-81.6057",TRUE
Supercenter #862,"751 W Oglethorpe Hwy, Hinesville, GA 31313","31.825846,-81.601793",TRUE
Supercenter #2630,"1100 N 1st St, Jesup, GA 31545","31.615749,-81.871778",TRUE
Supercenter #1373,"4004 Lawrenceville Hwy Nw, Lilburn, GA 30047","33.90307,-84.110196",TRUE
Supercenter #5252,"4221 Atlanta Hwy, Loganville, GA 30052","33.841041,-83.911156",TRUE
Neighborhood Market #3069,"3101 Roswell Road Marietta, GA 30062","33.980675, -84.463063",TRUE
Neighborhood Market #5815,"2909 Austell Rd Sw, Marietta, GA 30008","33.882664,-84.586573",TRUE
Supercenter #937,"2795 Chastain Meadows Pkwy, Marietta, GA 30066","34.019294,-84.557106",TRUE
Supercenter #1181,"1785 Cobb Pkwy S, Marietta, GA 30060","33.909961,-84.488622",TRUE
Supercenter #1766,"3100 Johnson Ferry Rd, Marietta, GA 30062","34.023269,-84.422462",TRUE
Supercenter #3611,"6520 Earnest Barrett Parkway, Marietta, GA 30064","33.867448,-84.636304",TRUE
Supercenter #5390,"210 Cobb Pkwy S, Marietta, GA 30060","33.945671,-84.521891",TRUE
Supercenter #780,"2050 W Spring St, Monroe, GA 30655","33.798322,-83.742692",TRUE
Supercenter #3067,"4975 Jimmy Carter Blvd, Norcross, GA 30093","33.89489,-84.194186",TRUE
Supercenter #2860,"160 Pooler Pkwy, Pooler, GA 31322","32.143504,-81.243771",TRUE
Supercenter #658,"2510 Redmond Cir Nw, Rome, GA 30165","34.221216,-85.130213",TRUE
Supercenter #5151,"825 Cartersville Hwy Se, Rome, GA 30161","34.221216,-85.130213",TRUE
Neighborhood Market #4530,"10530 Abercorn St, Savannah, GA 31419","31.983654,-81.130986",TRUE
Supercenter #605,"1955 E Montgomery Xrd, Savannah, GA 31406","31.98653, -81.082582",TRUE
Supercenter #635,"6000 Ogeechee Rd, Savannah, GA 31419","31.999725,-81.258043",TRUE
Supercenter #4556,"14030 Abercorn St, Savannah, GA 31419","31.980898,-81.1735",TRUE
Supercenter #1184,"1825 Rockbridge Rd, Stone Mountain, GA 30087","33.82458,-84.126037",TRUE
Supercenter #3188,"5935 Memorial Dr, Stone Mountain, GA 30083","33.799152,-84.195103",TRUE
Supercenter #1112,"855 N Church St, Thomaston, GA 30286","32.912607,-84.333991",TRUE
Supercenter #1122,"3886 Highway 17 Alt, Eastanollee, GA 30538","34.547779,-83.283712",TRUE
Neighborhood Market #6732,"4196 Bemiss Rd, Valdosta, GA 31605","30.915848,-83.256651",TRUE
Supercenter #899,"340 Norman Dr, Valdosta, GA 31601","30.82595,-83.319546",TRUE
Supercenter #2615,"3274 Inner Perimeter Rd, Valdosta, GA 31602","30.880781,-83.287725",TRUE
Neighborhood Market #4527,"1630 Plant Ave, Waycross, GA 31501","31.22047,-82.346282",TRUE
Supercenter #556,"2425 Memorial Dr, Waycross, GA 31503","31.197946,-82.321068",TRUE
Supercenter #2941,"5200 Windward Pkwy, Alpharetta, GA 30004","34.094073,-84.274296",TRUE
Supercenter #4436,"5455 Atlanta Hwy, Alpharetta, GA 30004","34.150666,-84.249462",TRUE
Neighborhood Market #4206,"300 S Belair Rd, Augusta, GA 30907","33.493701,-82.13601",TRUE
Supercenter #1227,"260 Bobby Jones Expy, Augusta, GA 30907","33.504861,-82.085992",TRUE
Supercenter #1293,"3209 Deans Bridge Rd, Augusta, GA 30906","33.42405,-82.062913",TRUE
Supercenter #4144,"3338 Wrightsboro Rd, Augusta, GA 30909","33.466788,-82.070165",TRUE
Supercenter #3485,"2257 Hwy 515, Blairsville, GA 30512","34.863934,-83.998075",TRUE
Supercenter #1314,"3795 Buford Dr, Buford, GA 30519","34.08883,-83.989968",TRUE
Supercenter #3786,"3250 Sardis Church Rd, Buford, GA 30519","34.078332,-83.921969",TRUE
Supercenter #518,"1550 Riverstone Pkwy, Canton, GA 30114","34.255441,-84.46123",TRUE
Supercenter #3621,"1871 Chamblee Tucker Rd, Chamblee, GA 30341","33.888705,-84.311304",TRUE
Supercenter #3401,"6149 Old National Hwy, College Park, GA 30349","33.587011,-84.472062",TRUE
Supercenter #1006,"1215 E 16th Ave, Cordele, GA 31015","31.964639, -83.761872",TRUE
Supercenter #2513,"270 Walmart Way, Dahlonega, GA 30533","34.538626,-83.972455",TRUE
Supercenter #3118,"2525 N Decatur Rd, Decatur, GA 30033","33.792333,-84.289513",TRUE
Supercenter #3710,"3580 Memorial Dr, Decatur, GA 30032","33.757348,-84.268537",TRUE
Supercenter #2154,"2635 Pleasant Hill Rd, Duluth, GA 30096","33.970097,-84.150274",TRUE
Supercenter #1018,"1099 Indian Dr, Eastman, GA 31023","32.178883,-83.177731",TRUE
Supercenter #3570,"4469 Washington Rd, Evans, GA 30809","33.545845,-82.142294",TRUE
Neighborhood Market #3635,"1155 Battlefield Pkwy, Fort Oglethorpe, GA 30742","34.9548,-85.2447",TRUE
Supercenter #1458,"3040 Battlefield Pkwy, Fort Oglethorpe, GA 30742","34.936294,-85.216277",TRUE
Supercenter #1111,"1572 Anderson Hwy, Hartwell, GA 30643","34.349547,-82.904906",TRUE
Supercenter #618,"4166 Jimmy Lee Smith Pkwy, Hiram, GA 30141","33.890793,-84.758812",TRUE
Supercenter #2988,"2625 N Hwy 27, La Fayette, GA 30728","34.746245,-85.273449",TRUE
Supercenter #3205,"1100 Thornton Rd, Lithia Springs, GA 30122","33.774584,-84.601136",TRUE
Supercenter #5363,"11465 Tara Blvd, Hampton, GA 30228","33.442385,-84.325772",TRUE
Neighborhood Market #5813,"3851 Evans To Locks Road, Martinez, GA 30907","33.551637,-82.088369",TRUE
Supercenter #1047,"6065 Jonesboro Rd, Morrow, GA 30260","33.589604,-84.340237",TRUE
Supercenter #3627,"3875 Mundy Mill Rd, Oakwood, GA 30566","34.231379,-83.874815",TRUE
Supercenter #1011,"434 S Columbia Ave, Rincon, GA 31326","32.2746,-81.225925",TRUE
Supercenter #1578,"970 Mansell Rd, Roswell, GA 30076","34.045252,-84.333482",TRUE
Neighborhood Market #3072,"2912 W Main St, Snellville, GA 30078","33.853016, -84.034270",TRUE
Supercenter #1720,"1550 Scenic Hwy N, Snellville, GA 30078","33.886606,-84.00791",TRUE
Supercenter #3389,"3435 Centerville Hwy, Snellville, GA 30039","33.808084,-84.046643",TRUE
Supercenter #3462,"3245 Lawrenceville Suwanee Rd, Suwanee, GA 30024","34.0363,-84.050772",TRUE
Supercenter #889,"15328 Us Highway 19 S, Thomasville, GA 31757","30.860133,-83.944838",TRUE
Supercenter #756,"13427 Highway 27, Trion, GA 30753","34.521777,-85.316563",TRUE
Supercenter #864,"3109 E 1st St, Vidalia, GA 30474","32.202048,-82.361972",TRUE
Supercenter #2754,"1500 N Liberty St, Waynesboro, GA 30830","33.107554,-82.02469",TRUE
Neighborhood Market #4421,"7400 Blackmon Rd, Columbus, GA 31909","32.552429,-84.895827",TRUE
Neighborhood Market #4426,"1042 Manchester Expy, Columbus, GA 31904","32.506053,-84.977691",TRUE
Neighborhood Market #5907,"4909 Buena Vista Rd, Columbus, GA 31907","32.468857,-84.910114",TRUE
